genusURN,genusName,familyURN,tsnID
urn:cite:botcar:genera.Lycopodiella,Lycopodiella,urn:cite:botcar:family.Lycopodiaceae,"to be added"
urn:cite:botcar:genera.Lycopus,Lycopus,urn:cite:botcar:family.Lamiaceae,"to be added"
urn:cite:botcar:genera.Lyonia,Lyonia,urn:cite:botcar:family.Ericaceae,"to be added"
urn:cite:botcar:genera.Lysimachia,Lysimachia,urn:cite:botcar:family.Primulaceae,"to be added"
urn:cite:botcar:genera.Maianthemum,Maianthemum,urn:cite:botcar:family.Ruscaceae,"to be added"
urn:cite:botcar:genera.Marshallia,Marshallia,urn:cite:botcar:family.Asteraceae,"to be added"
urn:cite:botcar:genera.Matelea,Matelea,urn:cite:botcar:family.Apocynaceae,"to be added"
urn:cite:botcar:genera.Medeola,Medeola,urn:cite:botcar:family.Liliaceae,"to be added"
urn:cite:botcar:genera.Melanthium,Melanthium,urn:cite:botcar:family.Melanthiaceae,"to be added"
urn:cite:botcar:genera.Melothria,Melothria,urn:cite:botcar:family.Cucurbitaceae,"to be added"
urn:cite:botcar:genera.Menispermum,Menispermum,urn:cite:botcar:family.Menispermaceae,"to be added"
urn:cite:botcar:genera.Metopium,Metopium,urn:cite:botcar:family.Anacardiaceae,"to be added"
urn:cite:botcar:genera.Mimosa,Mimosa,urn:cite:botcar:family.Fabaceae,"to be added"
urn:cite:botcar:genera.Monarda,Monarda,urn:cite:botcar:family.Lamiaceae,"to be added"
urn:cite:botcar:genera.Morus,Morus,urn:cite:botcar:family.Moraceae,"to be added"
urn:cite:botcar:genera.Narcissus,Narcissus,urn:cite:botcar:family.Amaryllidaceae,"to be added"
urn:cite:botcar:genera.Nasturtium,Nasturtium,urn:cite:botcar:family.Brassicaceae,"to be added"
urn:cite:botcar:genera.Nolina,Nolina,urn:cite:botcar:family.Ruscaceae,"to be added"
urn:cite:botcar:genera.Nymphaea,Nymphaea,urn:cite:botcar:family.Nymphaeaceae,"to be added"
urn:cite:botcar:genera.Nyssa,Nyssa,urn:cite:botcar:family.Nyssaceae,"to be added"
urn:cite:botcar:genera.Oenothera,Oenothera,urn:cite:botcar:family.Onagraceae,"to be added"
urn:cite:botcar:genera.Onosmodium,Onosmodium,urn:cite:botcar:family.Boraginaceae,"to be added"
urn:cite:botcar:genera.Orbexilum,Orbexilum,urn:cite:botcar:family.Fabaceae,"to be added"
urn:cite:botcar:genera.Osmanthus,Osmanthus,urn:cite:botcar:family.Oleaceae,"to be added"
urn:cite:botcar:genera.Osmorhiza,Osmorhiza,urn:cite:botcar:family.Apiaceae,"to be added"
urn:cite:botcar:genera.Osmunda,Osmunda,urn:cite:botcar:family.Osmundaceae,"to be added"
urn:cite:botcar:genera.Ostrya,Ostrya,urn:cite:botcar:family.Betulaceae,"to be added"
urn:cite:botcar:genera.Oxydendrum,Oxydendrum,urn:cite:botcar:family.Ericaceae,"to be added"
urn:cite:botcar:genera.Paspalum,Paspalum,urn:cite:botcar:family.Poaceae,"to be added"
urn:cite:botcar:genera.Pedicularis,Pedicularis,urn:cite:botcar:family.Orobanchaceae,"to be added"
urn:cite:botcar:genera.Pediomelum,Pediomelum,urn:cite:botcar:family.Fabaceae,"to be added"
urn:cite:botcar:genera.Persea,Persea,urn:cite:botcar:family.Lauraceae,"to be added"
urn:cite:botcar:genera.Persicaria,Persicaria,urn:cite:botcar:family.Polygonaceae,"to be added"
urn:cite:botcar:genera.Phalaris,Phalaris,urn:cite:botcar:family.Poaceae,"to be added"
urn:cite:botcar:genera.Phaseolus,Phaseolus,urn:cite:botcar:family.Fabaceae,"to be added"
urn:cite:botcar:genera.Phegopteris,Phegopteris,urn:cite:botcar:family.Thelypteridaceae,"to be added"
urn:cite:botcar:genera.Philadelphus,Philadelphus,urn:cite:botcar:family.Hydrangeaceae,"to be added"
